ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Aguascalientes,1,2016,.2810168,.022895299,.25812152,.54299313,.091997847,.082846984,.012493708,.072577752,.15542473,16475.12775481519
Aguascalientes,2,2016,.29740673,.021479679,.27592707,.53811252,.077298567,.086184017,.011856993,.061595842,.14777985,16292.77023580677
Aguascalientes,1,2018,.25603896,.01157245,.24446651,.51505363,.082740612,.075045176,.0062699127,.071640089,.14668527,20055.98582923427
Aguascalientes,2,2018,.26887321,.0082939444,.26057926,.52085066,.051479507,.069819488,.0044129393,.062755816,.1325753,19385.29217650076
Aguascalientes,1,2020,.27149642,.025954081,.24554233,.52990943,.11749132,.091114432,.014690119,.074725807,.16584024,19435.18820223942
Aguascalientes,2,2020,.28063935,.022532774,.25810656,.53416377,.092563063,.086439073,.012976957,.068262517,.15470159,19425.29420038372
Aguascalientes,1,2022,.2304979,.01616196,.21433595,.54013693,.12613417,.079164065,.0093479455,.094645292,.17380936,26925.95362191152
Aguascalientes,2,2022,.24331695,.018876964,.22443998,.53256935,.10106338,.079775251,.010563136,.081140548,.16091581,25422.82183735724
Baja California,1,2016,.21501069,.010284999,.20472568,.571392,.10350027,.068981938,.0057662353,.10138715,.17036909,19786.56519539564
Baja California,2,2016,.2370363,.0089385035,.2280978,.5523141,.087438151,.070480555,.0047035534,.086696349,.15717691,18540.37813595355
Baja California,1,2018,.232235,.015456053,.21677893,.58275366,.11013883,.075438395,.008846147,.10102989,.17646828,19757.12826407638
Baja California,2,2018,.23975429,.011562363,.22819193,.56740361,.090961605,.075723872,.0069198911,.089895561,.16561943,19772.06086332653
Baja California,1,2020,.21335824,.016199414,.19715883,.58074129,.1193669,.071264602,.0089478251,.11101975,.18228436,22458.66803568628
Baja California,2,2020,.23673025,.014471605,.22225864,.55661577,.097084582,.074301012,.0081869522,.090615213,.16491622,21198.75775801268
Baja California,1,2022,.12740941,.013000853,.11440857,.5231806,.11572396,.049376324,.0082917614,.12148998,.1708663,29419.50524631595
Baja California,2,2022,.13989897,.013116193,.12678277,.5053947,.099407487,.051289529,.0077666314,.10734022,.15862975,28470.2475398321
Baja California Sur,1,2016,.22366449,.015563464,.20810102,.58508813,.14070542,.076510429,.0092173731,.1118449,.18835533,17576.29142051415
Baja California Sur,2,2016,.23416489,.014149261,.22001563,.55401516,.11127468,.076461591,.0084429393,.09059009,.16705169,17720.35278623286
Baja California Sur,1,2018,.1828161,.011922182,.17089392,.56491274,.11875438,.062813528,.0073960037,.11177628,.17458981,22470.16234310477
Baja California Sur,2,2018,.18883356,.011411313,.17742226,.56122494,.098468155,.062567681,.0070901243,.10085708,.16342476,22715.39932902256
Baja California Sur,1,2020,.2796149,.031709135,.24790576,.58951366,.14481176,.096813932,.019151868,.093893833,.19070777,20073.22773781683
Baja California Sur,2,2020,.27239007,.026174966,.24621512,.56167859,.11414532,.090891518,.015498945,.080611333,.17150284,20014.45381809452
Baja California Sur,1,2022,.12584177,.0072650919,.11857668,.53138238,.11999654,.04308283,.0042635966,.12409237,.16717519,30601.33332022585
Baja California Sur,2,2022,.14058267,.0079618581,.1326208,.48983893,.096986488,.046629205,.0046520615,.10129593,.14792514,29912.24074348504
